Place of Origin,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burundi,40,55,75,66,80,82,78,85,87,85,113,123,103,124,122,165,148,180,134,141,164,149,157,194
Djibouti,7,8,8,5,2,5,15,14,5,13,3,11,8,13,7,7,9,10,9,9,6,6,6,10
Eritrea,105,134,161,141,127,194,199,184,163,168,164,120,110,106,97,108,109,138,151,117,81,53,77,73
Ethiopia,1 286,1 205,1 133,1 119,1 060,1 129,1 266,1 328,1 316,1 583,1 553,1 392,1 334,1 463,1 516,1 472,1 517,1 847,2 118,2 061,2 356,2 166,2 680,3 006
Kenya,5 684,6 229,7 097,7 862,7 381,6 728,6 559,6 349,5 838,5 877,5 384,4 666,3 898,3 516,3 201,3 072,3 019,3 189,3 322,3 451,3 710,3 502,3 799,4 059
Rwanda,131,261,263,149,275,191,215,210,270,366,451,457,465,565,720,800,928,1 088,1 232,1 292,1 444,1 333,1 226,1 372
Seychelles,15,13,20,19,10,10,2,6,8,9,5,6,10,16,16,14,20,16,11,16,11,9,6,18
Somalia,91,96,87,87,37,55,50,78,37,40,36,26,34,30,15,32,35,50,67,76,68,97,92,120
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,28,36,48,76,63,102,95,100,87
Sudan,354,366,378,431,279,290,309,321,224,217,213,236,180,187,186,233,253,324,331,319,318,324,360,381
Tanzania,1 091,1 528,1 814,1 822,1 471,1 332,1 239,1 196,1 192,1 217,1 098,1 006,906,950,889,867,840,811,824,834,859,699,749,904
Uganda,693,754,805,776,696,632,685,743,769,836,852,820,779,783,762,762,776,779,818,848,870,886,905,1 088
Cameroon,903,870,967,1 171,1 216,1 364,1 582,1 799,1 891,1 826,1 881,1 659,1 530,1 472,1 285,1 212,1 210,1 334,1 382,1 188,1 027,930,927,1 086
Central African Republic,20,18,12,23,40,32,34,47,47,42,32,29,28,28,11,13,13,15,14,17,12,13,11,11
Chad,42,51,60,90,95,75,73,120,127,138,96,99,84,89,81,61,52,66,75,65,51,52,61,67
Equatorial Guinea,22,44,35,94,79,104,160,196,98,94,78,119,164,196,253,314,339,360,335,280,247,226,186,234
Gabon,74,98,101,125,105,145,161,230,303,262,306,431,402,378,397,388,410,363,332,327,280,272,229,236
Angola,198,348,360,432,442,431,415,442,503,544,615,699,779,812,985,1 184,1 296,1 257,1 183,1 014,814,673,541,553
Botswana,1 053,941,1 004,688,488,338,284,227,236,298,212,229,175,216,228,257,246,296,233,214,246,218,231,256
Comoros,22,38,44,31,22,23,29,39,42,23,50,23,9,19,27,32,32,10,12,18,40,23,21,23
Eswatini,71,104,88,84,86,96,98,114,128,156,140,146,154,182,177,165,192,183,188,181,174,181,169,181
Lesotho,63,35,39,38,39,41,52,57,45,61,48,51,46,41,41,56,61,59,55,58,69,69,70,70
Madagascar,114,115,124,119,109,127,112,136,130,123,142,146,133,124,151,122,126,143,132,159,181,181,209,226
Malawi,308,428,475,391,399,375,347,321,297,315,274,269,258,252,275,272,289,317,306,311,315,287,342,373
Mauritius,209,246,251,228,209,188,210,205,218,221,210,247,205,228,221,231,250,283,288,311,332,323,281,292
Mozambique,82,86,106,108,93,106,98,80,78,89,88,76,67,88,91,108,109,120,111,113,127,131,145,147
Namibia,99,117,80,111,95,66,89,61,66,60,76,73,63,65,61,67,76,93,101,105,121,122,107,94
Reunion,3,2,20,4,2,8,11,6,6,8,2,7,1,2,2,1,5,2,6,1,2,4,6,10
South Africa,1 962,2 106,2 232,2 095,1 971,1 699,1 709,1 665,1 620,1 703,1 656,1 669,1 610,1 816,1 716,1 838,1 813,1 911,2 040,2 042,2 224,2 079,2 375,2 713
Zambia,494,613,819,882,859,794,816,876,787,743,641,560,535,496,502,465,473,469,450,445,464,440,512,555
Zimbabwe,1 184,1 703,2 029,2 186,1 999,1 695,1 704,1 518,1 421,1 269,1 159,1 135,1 161,1 170,1 206,1 245,1 295,1 330,1 324,1 343,1 377,1 304,1 507,1 789
Benin,130,145,153,171,168,180,217,253,319,328,342,289,313,318,291,287,259,248,234,246,234,210,201,246
Burkina Faso,74,112,135,162,191,277,339,423,514,568,680,626,631,627,526,567,540,533,567,514,483,420,367,372
Cabo Verde,44,59,57,79,52,40,40,76,43,100,42,55,87,81,69,64,102,80,67,52,61,63,44,47
Côte d’Ivoire,563,637,707,675,636,622,656,657,711,806,867,904,955,980,1 116,1 227,1 229,1 353,1 349,1 392,1 257,1 115,1 034,1 072
Gambia,263,386,401,464,523,445,403,372,330,328,299,385,383,328,300,275,274,299,261,243,239,219,231,286
Ghana,2 127,2 469,2 672,3 032,3 288,3 114,3 160,2 961,2 895,2 988,2 951,2 900,2 769,2 863,2 914,3 099,3 049,3 111,3 213,3 661,4 221,4 229,4 916,6 468
Guinea,235,237,220,249,250,225,218,181,167,190,180,139,104,79,80,109,94,94,98,107,92,104,76,96
Guinea-Bissau,29,16,21,13,16,11,5,19,15,17,15,12,12,10,15,9,18,9,10,16,13,9,8,12
Liberia,426,451,471,531,411,343,364,336,298,261,231,172,159,172,161,168,205,221,262,255,260,232,269,276
Mali,207,439,311,507,378,345,402,455,435,479,500,481,402,383,315,356,331,310,302,291,285,270,254,254
Mauritania,62,73,79,87,68,58,63,64,60,59,52,60,61,71,63,81,97,103,106,84,67,53,53,41
Niger,73,87,139,177,169,234,359,258,289,249,228,247,279,194,217,199,246,177,288,257,277,197,246,332
Nigeria,3 602,3 820,4 499,5 816,6 140,6 335,6 192,5 943,6 222,6 256,6 568,7 148,7 028,7 316,7 921,9 494,10 674,11 710,12 693,13 423,13 762,12 860,14 438,17 640
Senegal,707,732,809,774,805,725,666,681,658,642,624,600,681,688,633,633,603,569,544,504,485,430,445,490
Sierra Leone,452,336,320,340,306,308,297,299,230,173,173,183,130,123,146,152,167,209,200,181,199,201,197,280
Togo,176,330,382,498,413,514,448,366,439,381,310,241,250,218,231,238,209,210,199,189,214,196,193,198
China,54 466,59 939,63 211,64 757,61 765,62 523,62 582,67 723,81 127,98 235,127 628,157 558,194 029,235 597,274 439,304 040,328 547,350 755,363 341,369 548,372 532,317 299,290 086,289 526
Hong Kong,7 545,7 627,7 757,8 076,7 353,7 180,7 849,7 722,8 286,8 329,8 034,8 136,8 032,8 026,8 104,8 012,7 923,7 547,7 162,6 917,6 778,5 878,5 848,5 867
Japan,46 872,46 497,46 810,45 960,40 835,42 215,38 712,35 282,33 974,29 264,24 842,21 290,19 966,19 568,19 334,19 064,19 060,18 780,18 753,18 105,17 554,11 785,13 449,16 054
Macau,297,372,371,385,374,383,407,388,421,429,468,497,505,533,552,573,586,605,555,558,503,422,394,360
Mongolia,325,442,574,739,711,769,927,1 156,1 308,1 522,1 258,1 259,1 423,1 361,1 444,1 481,1 434,1 410,1 481,1 336,1 438,1 258,1 355,1 488
North Korea,201,127,113,213,174,219,201,266,65,43,57,16,15,17,19,8,18,8,3,2,1,2,4,3
South Korea,41 191,45 685,49 046,51 519,52 484,53 358,59 022,62 392,69 124,75 065,72 153,73 351,72 295,70 627,68 047,63 710,61 007,58 663,54 555,52 250,49 809,39 491,40 755,43 847
Taiwan,29 234,28 566,28 930,28 017,26 178,25 914,27 876,29 094,29 001,28 065,26 685,24 818,23 250,21 867,21 266,20 993,21 127,21 516,22 454,23 369,23 724,19 673,20 487,21 834
Afghanistan,110,75,92,102,109,155,175,268,338,407,426,429,371,449,450,471,498,506,476,418,422,354,420,682
Bangladesh,3 845,4 114,3 935,3 596,3 198,2 758,2 581,2 410,2 305,2 706,2 619,2 873,3 314,3 828,4 802,5 455,6 513,7 143,7 496,8 249,8 838,8 598,10 597,13 563
Bhutan,57,62,78,68,63,70,77,83,96,109,126,115,100,133,127,128,143,148,152,146,154,116,143,188
India,42 337,54 664,66 836,74 603,79 736,80 466,76 503,83 833,94 563,103 260,104 897,103 895,100 270,96 754,102 673,132 888,165 918,186 267,196 271,202 014,193 124,167 582,199 182,268 923
Kazakhstan,542,540,617,556,538,477,626,1 212,1 456,1 714,1 936,1 890,1 938,1 969,2 012,2 017,1 935,1 792,1 865,1 879,2 091,1 830,2 121,2 440
